"logFC" "AveExpr" "t" "P.Value" "adj.P.Val" "B"
"ENSMUSG00000072596.5" -2.33191315998031 7.63143151164829 -17.5835142102046 2.51845471528782e-12 1.69778585116817e-10 18.3313035557885
"ENSMUSG00000059456.14" -1.06358703215199 9.07711170970452 -17.5511403267717 2.59442408300012e-12 1.73900539963379e-10 18.156692808805
"ENSMUSG00000021939.9" -0.780195152019623 10.9266151486669 -17.5236852201909 2.66074709599422e-12 1.77332746795524e-10 17.9689978164843
"ENSMUSG00000029449.12" -2.90244644467005 4.57237753282145 -17.5047055741282 2.70764102881339e-12 1.78739566563247e-10 18.4397008764573
"ENSMUSG00000042659.16" 2.42893007515357 4.65241490895722 17.5028264898811 2.71233101860682e-12 1.78739566563247e-10 18.5030035013217
"ENSMUSG00000066682.12" -1.84613203662179 6.46886457428998 -17.4958653961312 2.72978003334365e-12 1.78884468106821e-10 18.4184372496949
"ENSMUSG00000002957.12" 1.07681151790062 7.88478690779132 17.4748236045707 2.78324878181644e-12 1.81375045615038e-10 18.2026125163844
"ENSMUSG00000041488.17" 2.52498989247891 4.80640279291991 17.4499064513287 2.84799864877309e-12 1.84569194199494e-10 18.4526108485694
"ENSMUSG00000039997.17" 1.8910048051812 7.96505244185464 17.2935428634598 3.29238667278734e-12 2.1219613006481e-10 18.0217225816941
"ENSMUSG00000031902.11" -1.09000239689045 7.82544834707782 -17.2828168487367 3.32544045168729e-12 2.13155281411431e-10 18.0208003815342
"ENSMUSG00000056498.14" 2.79669127227155 3.97825946712716 17.2766712203568 3.34453682156029e-12 2.13214222374469e-10 18.1706904025437
"ENSMUSG00000053559.14" -2.98277424300285 3.86580641405845 -17.242805383404 3.45186609894489e-12 2.18866969408776e-10 18.0732875421615
"ENSMUSG00000041642.19" -1.11246173447625 8.76020944289812 -17.2157618330996 3.54018369052326e-12 2.23259971450741e-10 17.8528927978792
"ENSMUSG00000049313.9" 0.811015936187431 9.80316583285244 17.2018060711282 3.58669008351853e-12 2.24983287057071e-10 17.760524309382
"ENSMUSG00000070803.7" -3.10185466252331 3.46667393982196 -17.153889176028 3.7513405508176e-12 2.34059705644098e-10 18.0175664881939
"ENSMUSG00000081723.2" -3.18167271144255 3.60669252728032 -17.1390616554382 3.80389252780665e-12 2.36082853709905e-10 17.8869356292598
"ENSMUSG00000024174.10" -1.19737142759112 8.35146440231982 -17.1265072636281 3.84899566896255e-12 2.37624837878583e-10 17.8223252104806
"ENSMUSG00000030795.19" -1.08624875966504 8.52795729292012 -17.120163311659 3.87200148224787e-12 2.377935988836e-10 17.7967092140538
"ENSMUSG00000008540.12" 1.61802924577264 6.91227173821377 17.0004868168243 4.33431766350572e-12 2.64799719754802e-10 17.8460252826951
"ENSMUSG00000028961.16" 0.891633268923501 8.63169742642554 16.948758853656 4.55186465226512e-12 2.75471579323189e-10 17.6164028678202
"ENSMUSG00000097636.11" -1.56212267258868 6.21006969188804 -16.9478087823045 4.55596644404933e-12 2.75471579323189e-10 17.853926250015
"ENSMUSG00000094626.2" -3.58563804131862 3.3659250548747 -16.9228419008883 4.66516779179827e-12 2.78804690838872e-10 17.683357665652
"ENSMUSG00000017774.20" -1.15880342061876 8.36534873005314 -16.9206773477242 4.67476450903748e-12 2.78804690838872e-10 17.6139765447032
